Execute CalibMonitor with infile:d24CE.txt dirName: hcalIsoTrackAnalyzer dupFile: PhiSym2024_RunC.txt comFile: outFile: prefix: 24CE3 corrFile: 100 rcoFile:0 puCorr:-8 Flag:41031 Numb:54 dataMC:1 truncate:2 useGen:0 Scale:1 useScale:0 etaRange:0:30 runRange:0:99999999 phiRange:1:72 zside:1 nvxRange:0:1000 rbxFile: exclude:0 etaMax:1 histFile:24CEM3.root append:0 all:1 nmax:-1
Create a chain for hcalIsoTrackAnalyzer/CalibTree from d24CE.txt flags 1|3|-8
 cons 0.050905 eta range 0:30 run range 0:99999999 (inclusion flag 1)
 Selection of RBX 0 Vertex Range 0:1000
 corrFileName: 100 useScale 0:1:1
 rcorFileName: 0 flag 4:1:0 Threshold Flag 0
No. of Entries in this tree : 96487
Proceed with a tree chain with 96487 entries
Cannot open file 100
Reads 0 correction factors from 100 with flag 0
Flag for scale 0 with scale 1; flag for etaMax 1 and flag for Format 0
No event list provided for selection
Book Histos for Non-Standard 55:3
Cannot open duplicate file PhiSym2024_RunC.txt
CalibCorr is created with flag 4:4 for i/p file 0
Enters readCorrPhi for 0
Cannot open file 0
55 Eta Bins: -27.5 -26.5 -25.5 -24.5 -23.5 -22.5 -21.5 -20.5 -19.5 -18.5 -17.5 -16.5 -15.5 -14.5 -13.5 -12.5 -11.5 -10.5 -9.5 -8.5 -7.5 -6.5 -5.5 -4.5 -3.5 -2.5 -1.5 0 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 20.5 21.5 22.5 23.5 24.5 25.5 26.5 27.5
Total entries 96487:96487
Entry 0 Run 380197 Event 53051885
Duplicate event 380197 76514053 51.4663
Duplicate event 380197 76354570 50.6156
Duplicate event 380197 76354570 48.863
Duplicate event 380197 74264098 49.8868
Duplicate event 380197 74642370 42.4934
Duplicate event 380197 76277199 40.5918
Duplicate event 380197 75705547 44.9041
Duplicate event 380197 74648975 42.2023
Duplicate event 380197 76114124 40.5441
Duplicate event 380197 75528315 47.2462
Duplicate event 380197 74547098 43.854
Duplicate event 380197 75417515 40.8591
Duplicate event 380197 74645968 40.1171
Duplicate event 380197 74274830 49.8646
Duplicate event 380197 74726821 49.9306
Duplicate event 380197 76510750 43.7717
Duplicate event 380197 75574816 50.1736
Duplicate event 380197 76112385 44.771
Duplicate event 380197 74766857 53.9933
Duplicate event 380197 74701128 47.5204
Duplicate event 380197 75233705 50.3271
Duplicate event 380197 75884402 40.6642
Duplicate event 380197 76075393 43.6192
Duplicate event 380197 74418057 52.2995
Duplicate event 380197 75298004 52.3809
Duplicate event 380197 76489673 58.2732
Duplicate event 380197 75925188 40.187
Duplicate event 380197 75753415 41.7762
Duplicate event 380197 75667329 46.3493
Duplicate event 380197 75056758 42.4627
Duplicate event 380197 75476432 51.9621
Duplicate event 380197 76218335 54.0253
Duplicate event 380197 76343773 46.3686
Duplicate event 380197 74957133 46.7864
Duplicate event 380197 76499643 41.1732
Duplicate event 380197 75152255 43.569
Duplicate event 380197 74835527 45.124
Duplicate event 380197 74747538 41.7531
Duplicate event 380197 75537132 57.8036
Duplicate event 380197 74983721 51.2928
Duplicate event 380197 74250662 41.5496
Duplicate event 380197 75025563 42.3665
Duplicate event 380197 74578165 52.2772
Duplicate event 380197 75717448 41.3818
Duplicate event 380197 74597444 46.5804
Duplicate event 380197 82871119 49.9427
Duplicate event 380197 81576027 40.707
Duplicate event 380197 81758313 44.2509
Duplicate event 380197 82536758 46.8719
Duplicate event 380197 81574690 52.423
Duplicate event 380197 81753357 51.3311
Duplicate event 380197 82398172 54.6598
Duplicate event 380197 83252266 55.2157
Duplicate event 380197 81649117 53.716
Duplicate event 380197 82987490 40.3081
Duplicate event 380197 83079184 41.4927
Duplicate event 380197 82919617 40.6141
Duplicate event 380197 81571495 43.9868
Duplicate event 380197 81635731 42.6479
Duplicate event 380197 82838963 43.5164
Duplicate event 380197 81390348 50.877
Duplicate event 380197 82113681 50.5775
Duplicate event 380197 83480633 46.2544
Duplicate event 380197 82549778 51.3566
Duplicate event 380197 82441450 42.0958
Duplicate event 380197 83275133 52.2407
Duplicate event 380197 82839064 58.7647
Duplicate event 380197 81809184 44.1726
Duplicate event 380197 83264993 55.9157
Duplicate event 380197 81770981 51.1045
Duplicate event 380197 83474550 44.8542
Duplicate event 380197 83545821 44.9494
Duplicate event 380197 82624528 40.838
Duplicate event 380197 82506627 42.8532
Duplicate event 380197 81575144 47.3843
Duplicate event 380197 81786788 51.7851
Duplicate event 380197 81256170 42.9335
Duplicate event 380197 83186631 43.217
Duplicate event 380197 82621969 41.5295
Duplicate event 380197 82030144 40.2064
Duplicate event 380197 82745850 42.2879
Duplicate event 380197 81587617 41.573
Duplicate event 380197 83336604 52.9489
Duplicate event 380197 82080281 45.4454
Duplicate event 380197 83147940 57.4767
Duplicate event 380197 82543175 41.0279
Duplicate event 380197 81430206 45.7113
Duplicate event 380197 81277629 40.3656
Duplicate event 380197 81484304 55.5115
Duplicate event 380197 82434382 44.9093
Duplicate event 380197 83155555 47.2238
Duplicate event 380197 81306115 48.3747
Duplicate event 380197 82709216 45.8484
Duplicate event 380197 81710652 41.5823
Duplicate event 380197 82115083 47.0447
Duplicate event 380197 83085877 51.1881
Duplicate event 380197 81456565 54.2722
Duplicate event 380197 81770719 46.1527
Duplicate event 380197 83450066 55.9252
Duplicate event 380197 83200771 45.1974
Duplicate event 380197 83501994 52.0873
Duplicate event 380197 82061753 44.9748
Duplicate event 380197 82545679 43.95
Duplicate event 380197 83140114 40.6802
Duplicate event 380197 82458801 43.6854
Duplicate event 380197 82729608 43.9958
Duplicate event 380197 81455470 47.4789
Duplicate event 380197 81613865 47.7561
Duplicate event 380197 81738126 41.7546
Duplicate event 380197 82290583 54.3176
Duplicate event 380197 81350384 40.9336
Duplicate event 380197 83092520 46.2589
Duplicate event 380197 81222004 41.5445
Duplicate event 380197 82783345 42.4938
Duplicate event 380197 81672184 48.4392
Duplicate event 380197 82507010 56.4121
Duplicate event 380197 83157081 59.6505
Duplicate event 380197 82635529 43.7277
Duplicate event 380197 81804917 42.2341
Duplicate event 380197 82203826 41.766
Duplicate event 380197 83125997 43.6312
Duplicate event 380197 82100592 41.4529
Duplicate event 380197 82869768 46.8612
Duplicate event 380197 83335986 56.8372
Duplicate event 380197 82011452 58.0945
Duplicate event 380197 81878841 43.0115
Duplicate event 380197 81381053 54.827
Duplicate event 380197 81831946 53.1383
Duplicate event 380197 82327848 46.311
Duplicate event 380197 82586436 46.44
Duplicate event 380197 81528740 43.2459
Duplicate event 380197 81489029 40.6778
Duplicate event 380197 81313520 56.8423
Duplicate event 380197 81379373 45.4692
Duplicate event 380197 81766224 48.5272
Duplicate event 380197 83424660 47.8782
Duplicate event 380197 81868309 55.3934
Duplicate event 380197 81872370 41.0444
Duplicate event 380197 81307406 50.286
Duplicate event 380197 81711721 41.6251
Duplicate event 380197 83210922 46.4171
Duplicate event 380197 81430299 40.873
Duplicate event 380197 82546780 42.806
Duplicate event 380197 82466654 40.0251
Duplicate event 380197 82521776 53.1325
Duplicate event 380197 83059252 44.927
Duplicate event 380197 83059252 44.7812
Duplicate event 380197 83554709 40.2464
Duplicate event 380197 82749373 42.8918
Duplicate event 380197 216685755 47.8113
Duplicate event 380197 217183159 46.1836
Duplicate event 380197 215615179 40.1887
Duplicate event 380197 215411794 53.523
Duplicate event 380197 217493735 40.3906
Duplicate event 380197 216524913 53.9549
Duplicate event 380197 216812919 41.5302
Duplicate event 380197 217483350 42.8983
Duplicate event 380197 215868725 49.8009
Duplicate event 380197 217143266 43.3837
Duplicate event 380197 217515508 46.8013
Duplicate event 380197 217512301 51.393
Duplicate event 380197 217439943 49.2416
Duplicate event 380197 216567814 40.3651
Duplicate event 380197 216683712 44.9369
Duplicate event 380197 217193408 49.6542
Duplicate event 380197 217379347 40.7739
Duplicate event 380197 217055134 47.3476
Duplicate event 380197 215704613 48.9852
Duplicate event 380197 216547139 57.2331
Duplicate event 380197 215916067 56.7759
Duplicate event 380197 215525802 46.0691
Duplicate event 380197 216045013 40.0397
Duplicate event 380197 216050246 41.4791
Duplicate event 380197 216042919 47.6363
Duplicate event 380197 217375813 58.784
Duplicate event 380197 216532056 40.8138
Duplicate event 380197 215424750 41.6856
Duplicate event 380197 215508839 53.3903
Duplicate event 380197 216550808 43.4677
Duplicate event 380197 215709524 54.5553
Duplicate event 380197 217516004 42.8142
Duplicate event 380197 216306359 55.1734
Duplicate event 380197 217341634 43.1595
Duplicate event 380197 215813843 52.9181
Duplicate event 380197 216404431 44.4717
Duplicate event 380197 217046363 50.3684
Duplicate event 380197 216524124 50.7609
Duplicate event 380197 216950772 50.0744
Duplicate event 380197 217295331 41.4978
Duplicate event 380197 215763046 50.7045
Duplicate event 380197 217601972 42.2055
Duplicate event 380197 215955696 55.8001
Duplicate event 380197 217577975 51.4826
Duplicate event 380197 217429364 40.3519
Duplicate event 380197 217682180 40.719
Duplicate event 380197 215692383 59.9892
Duplicate event 380197 216846110 40.4594
Duplicate event 380197 215924106 40.488
Duplicate event 380197 215994580 45.4246
Duplicate event 380197 216902125 44.6214
Duplicate event 380197 217341797 47.5242
Duplicate event 380197 217074082 48.7853
Duplicate event 380197 217177638 51.1602
Duplicate event 380197 217177638 58.0172
Duplicate event 380197 217176984 53.2511
Duplicate event 380197 216208648 45.782
Duplicate event 380197 217368389 45.9789
Duplicate event 380197 217113809 40.9493
Duplicate event 380197 215553952 42.4893
Duplicate event 380197 217489112 53.8408
Duplicate event 380197 215501020 40.2637
Duplicate event 380197 216399380 50.3661
Duplicate event 380197 216344160 43.7948
Duplicate event 380197 216422531 49.1124
Duplicate event 380197 216183498 59.1596
Duplicate event 380197 215748923 41.8091
Duplicate event 380197 216856895 42.1229
Duplicate event 380197 216553745 42.5457
Duplicate event 380197 216554158 41.0047
Duplicate event 380197 216623102 41.8408
Duplicate event 380197 217323966 58.6531
Duplicate event 380197 217329835 56.6107
Duplicate event 380197 217337906 57.8498
Duplicate event 380197 216836470 46.1004
Duplicate event 380197 216077133 40.8572
Duplicate event 380197 215879819 44.2689
Duplicate event 380197 216752990 51.6916
Duplicate event 380197 216849488 47.4304
Duplicate event 380197 217360660 40.9231
Duplicate event 380197 215967825 51.8286
Duplicate event 380197 216035157 44.7036
Duplicate event 380197 217178789 40.254
Duplicate event 380197 215533729 52.7935
Duplicate event 380197 216183602 40.6736
Duplicate event 380197 215431432 44.5142
Duplicate event 380197 217322962 40.1035
Duplicate event 380197 217440160 41.5188
Duplicate event 380197 216873347 48.0632
Duplicate event 380197 217270155 47.3328
Duplicate event 380197 217086752 53.8416
Duplicate event 380197 217149647 42.4448
Duplicate event 380197 215517311 44.038
Duplicate event 380197 215973818 41.2952
Duplicate event 380197 217394157 44.0778
Duplicate event 380197 217125185 41.2809
Duplicate event 380197 337034229 40.869
Duplicate event 380197 336679390 56.9139
Duplicate event 380197 335758409 52.2113
Duplicate event 380197 336470018 40.6451
Duplicate event 380197 336816829 48.6664
Duplicate event 380197 336194982 56.5205
Duplicate event 380197 336602304 43.5616
Duplicate event 380197 335851571 59.9068
Duplicate event 380197 336453539 41.3001
Duplicate event 380197 336922847 44.7349
Duplicate event 380197 337273460 51.4958
Duplicate event 380197 337148533 42.6226
Duplicate event 380197 335727571 51.5506
Duplicate event 380197 335676987 41.9311
